SID,SEASON,NUMBER,NAME,ISO_TIME,NATURE,LAT,LON,TRACK_TYPE,DIST2LAND,LANDFALL,USA_POCI,USA_ROCI,USA_RMW,NEWDELHI_WIND,NEWDELHI_PRES,STORM_SPEED,STORM_DIR
2025331N07081,2025,103,DITWAH,2025-12-02 12:00:00,NR,12.2,80.6,PROVISIONAL,54,NaN,1008,120,40,25,1004,4,260
2025331N07081,2025,103,DITWAH,2025-12-02 9:00:00,NR,12.2,80.8,PROVISIONAL,73,54,1008,120,40,25,1005,3,250
2025331N07081,2025,103,DITWAH,2025-12-02 6:00:00,NR,12.3,80.9,PROVISIONAL,79,73,1008,120,40,25,1005,2,160
2025331N07081,2025,103,DITWAH,2025-12-02 3:00:00,NR,12.4,80.8,PROVISIONAL,66,66,1008,120,40,25,1005,4,125
2025331N07081,2025,103,DITWAH,2025-12-02 0:00:00,NR,12.5,80.6,PROVISIONAL,43,43,1008,120,40,25,1005,2,130
2025331N07081,2025,103,DITWAH,2025-12-01 21:00:00,NR,12.5,80.6,PROVISIONAL,43,43,1008,120,40,27,1004,1,225
2025331N07081,2025,103,DITWAH,2025-12-01 18:00:00,NR,12.6,80.7,PROVISIONAL,54,43,1008,120,40,29,1003,3,230
2025331N07081,2025,103,DITWAH,2025-12-01 15:00:00,NR,12.8,80.8,PROVISIONAL,65,54,1008,125,40,29,1003,4,225
2025331N07081,2025,103,DITWAH,2025-12-01 12:00:00,NR,12.9,81,PROVISIONAL,86,75,1008,130,40,29,1003,3,225
2025331N07081,2025,103,DITWAH,2025-12-01 9:00:00,NR,13,81,PROVISIONAL,82,82,1009,135,43,29,1004,1,270
2025331N07081,2025,103,DITWAH,2025-12-01 6:00:00,NR,12.9,81.1,PROVISIONAL,97,82,1010,140,45,29,1005,3,320
2025331N07081,2025,103,DITWAH,2025-12-01 3:00:00,NR,12.7,81.3,PROVISIONAL,119,97,NaN,NaN,NaN,28,1005,6,325
2025331N07081,2025,103,DITWAH,2025-12-01 0:00:00,NR,12.4,81.4,PROVISIONAL,130,119,NaN,NaN,NaN,27,1005,6,335
2025331N07081,2025,103,DITWAH,2025-11-30 21:00:00,NR,12.1,81.5,PROVISIONAL,148,130,NaN,NaN,NaN,26,1004,5,350
2025331N07081,2025,103,DITWAH,2025-11-30 18:00:00,NR,11.9,81.5,PROVISIONAL,156,148,1009,160,45,25,1004,5,40
2025331N07081,2025,103,DITWAH,2025-11-30 15:00:00,NR,11.8,81.2,PROVISIONAL,134,134,1009,160,53,27,1004,6,70
2025331N07081,2025,103,DITWAH,2025-11-30 12:00:00,NR,11.7,80.9,PROVISIONAL,112,112,1009,160,60,29,1004,5,55
2025331N07081,2025,103,DITWAH,2025-11-30 9:00:00,NR,11.5,80.8,PROVISIONAL,103,103,1010,175,60,29,1004,4,15
2025331N07081,2025,103,DITWAH,2025-11-30 6:00:00,NR,11.3,80.8,PROVISIONAL,98,98,1010,190,60,29,1004,4,0
2025331N07081,2025,103,DITWAH,2025-11-30 3:00:00,NR,11.2,80.8,PROVISIONAL,98,98,1009,195,68,29,1004,3,0
2025331N07081,2025,103,DITWAH,2025-11-30 0:00:00,NR,11,80.8,PROVISIONAL,98,98,1008,200,75,29,1003,4,0
2025331N07081,2025,103,DITWAH,2025-11-29 21:00:00,NR,10.8,80.8,PROVISIONAL,98,98,1008,200,75,29,1003,5,0
2025331N07081,2025,103,DITWAH,2025-11-29 18:00:00,NR,10.5,80.8,PROVISIONAL,98,98,1008,200,75,29,1003,4,0
2025331N07081,2025,103,DITWAH,2025-11-29 15:00:00,NR,10.3,80.8,PROVISIONAL,86,86,1008,200,68,32,1002,3,0
2025331N07081,2025,103,DITWAH,2025-11-29 12:00:00,NR,10.2,80.8,PROVISIONAL,78,78,1008,200,60,35,1001,3,5
2025331N07081,2025,103,DITWAH,2025-11-29 9:00:00,NR,10.1,80.8,PROVISIONAL,70,70,1009,215,60,35,1002,3,0
2025331N07081,2025,103,DITWAH,2025-11-29 6:00:00,NR,9.9,80.8,PROVISIONAL,55,55,1010,230,60,35,1003,4,0
2025331N07081,2025,103,DITWAH,2025-11-29 3:00:00,NR,9.7,80.8,PROVISIONAL,39,39,1009,220,60,35,1003,5,0
2025331N07081,2025,103,DITWAH,2025-11-29 0:00:00,NR,9.4,80.8,PROVISIONAL,11,11,1008,210,60,35,1003,5,0
2025331N07081,2025,103,DITWAH,2025-11-28 21:00:00,NR,9.2,80.8,PROVISIONAL,0,0,1009,210,60,35,1004,4,0
2025331N07081,2025,103,DITWAH,2025-11-28 18:00:00,NR,9,80.8,PROVISIONAL,0,0,1010,210,60,35,1004,4,350
2025331N07081,2025,103,DITWAH,2025-11-28 15:00:00,NR,8.8,80.8,PROVISIONAL,0,0,1010,210,60,35,1004,4,345
2025331N07081,2025,103,DITWAH,2025-11-28 12:00:00,NR,8.6,80.9,PROVISIONAL,0,0,1010,210,60,35,1004,4,345
2025331N07081,2025,103,DITWAH,2025-11-28 9:00:00,NR,8.4,81,PROVISIONAL,0,0,1010,210,60,35,1004,3,345
